A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_CDS_PINID!PIN_TERMINATION!PIN_TERM_IDENT!PIN_NET_SHORT!
J!C:/MyWorks/emmiter_new/hard/circuit/project/power/board/power.brd!Thu Oct 10 18:10:53 2013!0.0000!0.0000!300.0000!180.0000!0.0001!millimeters!POWER!28.800000 mil!4!OUT OF DATE!
S!RX+_L!J3!1!@power.schematic1(sch_1):ins2128807@power.\4 header_1.normal\(chips)!4 HEADER_1_PLUG-4_4 HEADER!!!F7!!!!!
S!RX-_L!J3!2!@power.schematic1(sch_1):ins2128807@power.\4 header_1.normal\(chips)!4 HEADER_1_PLUG-4_4 HEADER!!!F7!!!!!
S!TX-_L!J3!3!@power.schematic1(sch_1):ins2128807@power.\4 header_1.normal\(chips)!4 HEADER_1_PLUG-4_4 HEADER!!!F7!!!!!
S!TX+_L!J3!4!@power.schematic1(sch_1):ins2128807@power.\4 header_1.normal\(chips)!4 HEADER_1_PLUG-4_4 HEADER!!!F7!!!!!
S!5V!J6!2!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!EN_PWM!J6!20!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!0!J6!22!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!12V!J6!24!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!48V!J6!1!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!0!J6!3!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!GPIO1!J6!5!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!GPIO2!J6!7!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!GPIO3!J6!9!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!GPIO4!J6!11!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!!J6!13!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!5V!J6!4!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!0!J6!15!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!0!J6!17!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!ADC_IN!J6!19!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!0!J6!21!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!-12V!J6!23!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!0!J6!6!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!PWM_O!J6!8!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!PWM_NO!J6!10!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!D1OUT!J6!12!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!0!J6!14!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!EN_AMP!J6!16!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!SH_HYD!J6!18!@power.schematic1(sch_1):ins2122104@power.\conn pcb 12x2_0.normal\(chips)!CONN PCB 12X2_0_IDC-24MR_IDC-24!!!F4!!!!!
S!5V!C1!1!@power.schematic1(sch_1):ins2120138@discrete.\cap np.normal\(chips)!CAP NP_C0603_2.2U!!!F13!!!!!
S!0!C1!2!@power.schematic1(sch_1):ins2120138@discrete.\cap np.normal\(chips)!CAP NP_C0603_2.2U!!!F13!!!!!
S!12V!C2!1!@power.schematic1(sch_1):ins2118402@discrete.\cap.normal\(chips)!CAP_ECAP8_470U!!!F12!!!!!
S!0!C2!2!@power.schematic1(sch_1):ins2118402@discrete.\cap.normal\(chips)!CAP_ECAP8_470U!!!F12!!!!!
S!0!C4!1!@power.schematic1(sch_1):ins2119127@discrete.\cap.normal\(chips)!CAP_ECAP8_470U!!!F11!!!!!
S!-12V!C4!2!@power.schematic1(sch_1):ins2119127@discrete.\cap.normal\(chips)!CAP_ECAP8_470U!!!F11!!!!!
S!12V!C3!1!@power.schematic1(sch_1):ins2119304@discrete.\cap np.normal\(chips)!CAP NP_C0603_0.1U!!!F10!!!!!
S!-12V!C3!2!@power.schematic1(sch_1):ins2119304@discrete.\cap np.normal\(chips)!CAP NP_C0603_0.1U!!!F10!!!!!
S!CT1R_R!J1!6!@power.schematic1(sch_1):ins2134742@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F9!!!!!
S!CT1T_R!J1!12!@power.schematic1(sch_1):ins2134742@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F9!!!!!
S!!J1!1!@power.schematic1(sch_1):ins2134742@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F9!!!!!
S!!J1!2!@power.schematic1(sch_1):ins2134742@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F9!!!!!
S!!J1!3!@power.schematic1(sch_1):ins2134742@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F9!!!!!
S!!J1!7!@power.schematic1(sch_1):ins2134742@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F9!!!!!
S!!J1!8!@power.schematic1(sch_1):ins2134742@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F9!!!!!
S!!J1!9!@power.schematic1(sch_1):ins2134742@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F9!!!!!
S!PWR_1-2!J1!13!@power.schematic1(sch_1):ins2134742@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F9!!!!!
S!PWR_3-6!J1!14!@power.schematic1(sch_1):ins2134742@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F9!!!!!
